date,county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
2020-08-30,Autauga,Alabama,01001,1400,23,1309,22,91,1
2020-08-30,Baldwin,Alabama,01003,4424,40,4307,36,117,4
2020-08-30,Barbour,Alabama,01005,753,7,624,7,129,0
2020-08-30,Bibb,Alabama,01007,540,7,523,6,17,1
2020-08-30,Blount,Alabama,01009,1248,9,1004,9,244,0
2020-08-30,Bullock,Alabama,01011,546,14,535,13,11,1
2020-08-30,Butler,Alabama,01013,855,37,827,36,28,1
2020-08-30,Calhoun,Alabama,01015,2499,35,2316,29,183,6
2020-08-30,Chambers,Alabama,01017,1024,40,867,39,157,1
2020-08-30,Cherokee,Alabama,01019,398,12,341,11,57,1
2020-08-30,Chilton,Alabama,01021,1135,13,1036,10,99,3
2020-08-30,Choctaw,Alabama,01023,326,12,316,12,10,0
2020-08-30,Clarke,Alabama,01025,980,14,914,13,66,1
2020-08-30,Clay,Alabama,01027,360,6,342,6,18,0
2020-08-30,Cleburne,Alabama,01029,204,5,200,5,4,0
2020-08-30,Coffee,Alabama,01031,1065,7,948,5,117,2
2020-08-30,Colbert,Alabama,01033,1448,22,1418,22,30,0
2020-08-30,Conecuh,Alabama,01035,483,11,434,11,49,0
2020-08-30,Coosa,Alabama,01037,133,3,109,3,24,0
2020-08-30,Covington,Alabama,01039,1088,26,809,24,279,2
2020-08-30,Crenshaw,Alabama,01041,462,27,388,26,74,1
2020-08-30,Cullman,Alabama,01043,1612,13,1424,12,188,1
2020-08-30,Dale,Alabama,01045,1081,37,1002,37,79,0
2020-08-30,Dallas,Alabama,01047,1601,25,1412,25,189,0
2020-08-30,DeKalb,Alabama,01049,2136,16,2044,14,92,2
2020-08-30,Elmore,Alabama,01051,2159,44,1992,42,167,2
2020-08-30,Escambia,Alabama,01053,1396,22,1209,22,187,0
2020-08-30,Etowah,Alabama,01055,2775,39,2644,39,131,0
2020-08-30,Fayette,Alabama,01057,311,6,284,6,27,0
2020-08-30,Franklin,Alabama,01059,1554,27,1528,27,26,0
2020-08-30,Geneva,Alabama,01061,422,4,375,3,47,1
2020-08-30,Greene,Alabama,01063,281,15,274,15,7,0
2020-08-30,Hale,Alabama,01065,556,28,527,27,29,1
2020-08-30,Henry,Alabama,01067,359,4,319,3,40,1
2020-08-30,Houston,Alabama,01069,2004,18,1807,14,197,4
2020-08-30,Jackson,Alabama,01071,1301,9,1258,7,43,2
2020-08-30,Jefferson,Alabama,01073,16133,303,15591,299,542,4
2020-08-30,Lamar,Alabama,01075,286,2,268,2,18,0
2020-08-30,Lauderdale,Alabama,01077,1422,23,1398,23,24,0
2020-08-30,Lawrence,Alabama,01079,455,5,442,5,13,0
2020-08-30,Lee,Alabama,01081,4383,53,3200,48,1183,5
2020-08-30,Limestone,Alabama,01083,1658,16,1618,15,40,1
2020-08-30,Lowndes,Alabama,01085,617,26,599,24,18,2
2020-08-30,Macon,Alabama,01087,429,18,390,17,39,1
2020-08-30,Madison,Alabama,01089,6366,52,6163,47,203,5
2020-08-30,Marengo,Alabama,01091,637,18,623,17,14,1
2020-08-30,Marion,Alabama,01093,781,28,709,28,72,0
2020-08-30,Marshall,Alabama,01095,3605,42,3471,41,134,1
2020-08-30,Mobile,Alabama,01097,12136,257,11921,251,215,6
2020-08-30,Monroe,Alabama,01099,541,7,443,6,98,1
2020-08-30,Montgomery,Alabama,01101,7881,163,7650,160,231,3
2020-08-30,Morgan,Alabama,01103,2874,24,2777,22,97,2
2020-08-30,Perry,Alabama,01105,516,5,477,5,39,0
2020-08-30,Pickens,Alabama,01107,555,11,526,10,29,1
2020-08-30,Pike,Alabama,01109,948,8,817,7,131,1
2020-08-30,Randolph,Alabama,01111,500,12,460,11,40,1
2020-08-30,Russell,Alabama,01113,1609,2,1531,2,78,0
2020-08-30,Shelby,Alabama,01117,4381,47,3925,42,456,5
2020-08-30,St. Clair,Alabama,01115,1811,28,1621,27,190,1
2020-08-30,Sumter,Alabama,01119,402,19,395,19,7,0
2020-08-30,Talladega,Alabama,01121,1733,19,1282,17,451,2
2020-08-30,Tallapoosa,Alabama,01123,1041,82,922,81,119,1
2020-08-30,Tuscaloosa,Alabama,01125,5774,96,5080,89,694,7
2020-08-30,Walker,Alabama,01127,1900,75,1808,72,92,3
2020-08-30,Washington,Alabama,01129,515,13,495,13,20,0
2020-08-30,Wilcox,Alabama,01131,513,10,478,10,35,0
2020-08-30,Winston,Alabama,01133,568,11,538,11,30,0